Date,Hour,MAS
09/10/2023,8,0
09/10/2023,8,0
09/10/2023,9,0
09/10/2023,9,0
09/10/2023,9,0
09/10/2023,9,0
09/10/2023,9,0
09/10/2023,9,0
09/10/2023,9,0
09/10/2023,9,0
09/10/2023,9,0
09/10/2023,9,0
09/10/2023,9,0
09/10/2023,9,0
09/10/2023,10,0
09/10/2023,10,0
09/10/2023,10,0
09/10/2023,10,0
09/10/2023,10,0
09/10/2023,10,0
09/10/2023,10,0
09/10/2023,10,0
09/10/2023,10,0
09/10/2023,10,0
09/10/2023,10,0
09/10/2023,10,0
09/10/2023,11,0
09/10/2023,11,0
09/10/2023,11,0
09/10/2023,11,0
09/10/2023,11,0
09/10/2023,11,0
09/10/2023,11,0
09/10/2023,11,0
09/10/2023,11,0
09/10/2023,11,0
09/10/2023,11,0
09/10/2023,11,0
09/10/2023,12,0
09/10/2023,12,0
09/10/2023,12,0
09/10/2023,12,0
09/10/2023,12,0
09/10/2023,12,0
09/10/2023,12,0
09/10/2023,12,0
09/10/2023,12,0
09/10/2023,12,0
09/10/2023,12,0
09/10/2023,12,0
09/10/2023,13,0
09/10/2023,13,0
09/10/2023,13,0
09/10/2023,13,0
09/10/2023,13,0
09/10/2023,13,0
09/10/2023,13,0
09/10/2023,13,0
09/10/2023,13,0
09/10/2023,13,0
09/10/2023,13,0
09/10/2023,13,0
09/10/2023,14,0
09/10/2023,14,0
09/10/2023,14,0
09/10/2023,14,0
09/10/2023,14,0
09/10/2023,14,0
09/10/2023,14,0
09/10/2023,14,0
09/10/2023,14,0
09/10/2023,14,0
09/10/2023,14,0
09/10/2023,14,0
09/10/2023,15,0
09/10/2023,15,0
09/10/2023,15,0
09/10/2023,15,0
09/10/2023,15,0
09/10/2023,15,0
09/10/2023,15,0
09/10/2023,15,0
09/10/2023,15,0
09/10/2023,15,0
09/10/2023,15,0
09/10/2023,15,0
09/10/2023,16,0
09/10/2023,16,0
09/10/2023,16,0
09/10/2023,16,0
09/10/2023,16,0
09/10/2023,16,0
09/10/2023,16,0
09/10/2023,16,0
09/10/2023,16,0
09/10/2023,16,0
09/10/2023,16,0
09/10/2023,16,0
09/10/2023,17,0
09/10/2023,17,0
09/10/2023,17,0
09/10/2023,17,0
09/10/2023,17,0
09/10/2023,17,0
09/10/2023,17,0
09/10/2023,17,0
09/10/2023,17,0
09/10/2023,17,0
09/10/2023,17,0
09/10/2023,17,0
09/10/2023,18,0
09/10/2023,18,0
09/10/2023,18,0
09/10/2023,18,0
09/10/2023,18,0
09/10/2023,18,0
09/10/2023,18,0
09/10/2023,18,0
09/10/2023,18,5.97
09/10/2023,18,6.36
09/10/2023,18,6.32
09/10/2023,18,6.92
09/10/2023,19,6.8
09/10/2023,19,6.95
09/10/2023,19,7.51
09/10/2023,19,7.7
09/10/2023,19,8.25
09/10/2023,19,9.21
09/10/2023,19,10.17
09/10/2023,19,11.55
09/10/2023,19,12.84
09/10/2023,19,13.98
09/10/2023,19,14.55
09/10/2023,19,14.47
09/10/2023,20,14.36
09/10/2023,20,14.27
09/10/2023,20,14.23
09/10/2023,20,14.3
09/10/2023,20,14.38
09/10/2023,20,14.32
09/10/2023,20,14.42
09/10/2023,20,14.47
09/10/2023,20,14.47
09/10/2023,20,14.43
09/10/2023,20,14.36
09/10/2023,20,14.38
09/10/2023,21,14.36
09/10/2023,21,14.33
